console,North_America,Europe,Japan,Rest_of_World,Global
PlayStation 2 (PS2),53.65,55.28,23.18,26.59,158.7
Nintendo DS (DS),57.92,51.84,32.99,11.28,154.02
Nintendo Switch (NS),42.95,30.15,27.44,18.45,118.99
Game Boy (GB),43.18,40.05,32.47,2.99,118.69
PlayStation 4 (PS4),38.2,45.92,9.59,23.33,117.04
PlayStation (PS),40.78,31.09,21.59,9.04,102.49
Nintendo Wii (Wii),45.51,33.12,12.77,10.23,101.63
PlayStation 3 (PS3),29.92,30.87,10.47,16.14,87.4
Xbox 360 (X360),47.09,25.08,1.66,11.9,85.73
Game Boy Advance (GBA),40.39,21.31,16.96,2.85,81.51
PlayStation Portable (PSP),21.41,24.39,20.01,14.98,80.79
Nintendo 3DS (3DS),25.47,20.45,24.67,5.35,75.94
Nintendo Entertainment System (NES),33.49,8.3,19.35,0.77,61.91
Xbox One (XOne),31.6,13.04,0.12,6.53,51.28
Super Nintendo Entertainment System (SNES),22.88,8.15,17.17,0.9,49.1
Sega Genesis (GEN),18.5,8.39,3.58,3.59,34.06
Nintendo 64 (N64),20.11,6.35,5.54,0.93,32.93
Atari 2600 (2600),23.54,3.35,2.36,0.75,30
PlayStation 5 (PS5),12.17,9.33,2.24,5.23,28.97
Xbox (XB),15.77,7.17,0.47,1.24,24.65
GameCube (GC),12.55,4.44,4.04,0.71,21.74
Sega Master System (MS),2,6.95,2.52,9.37,20.84
Xbox Series X/S (XS),10.89,5.38,0.4,3.95,20.61
PlayStation Vita (PSV),2.7,3.94,5.73,3.44,15.82
Nintendo Wii U (WiiU),6.15,3.27,3.33,0.82,13.56
GameGear (GG),5.4,3.23,1.78,0.21,10.62
TurboGrafx-16 (TG16),0.75,1.84,7.76,0.52,10
Sega Saturn (SAT),1.83,1.1,5.8,0.53,9.26
Dreamcast (DC),3.9,1.91,2.25,1.07,9.13
Famicom Disk System (FDS),2.4,1.1,4.4,2.34,4.4
